Date,Sandisk (Price),Sandisk (Volume),AAPL (Price),AAPL (Volume)
2023-04-17,,,163.02288818359375,41516200
2023-04-18,,,164.24632263183594,49923000
2023-04-19,,,165.3908233642578,47720200
2023-04-20,,,164.4239044189453,52456400
2023-04-21,,,162.815673828125,58337300
2023-04-24,,,163.1215362548828,41949600
2023-04-25,,,161.5823974609375,48714100
2023-04-26,,,161.57249450683594,45498800
2023-04-27,,,166.16041564941406,64902300
2023-04-28,,,167.41343688964844,55275900
2023-05-01,,,167.3246307373047,52472900
2023-05-02,,,166.2886505126953,48425700
2023-05-03,,,165.21322631835938,65136000
2023-05-04,,,163.575439453125,81235400
2023-05-05,,,171.25148010253906,113453200
2023-05-08,,,171.1824188232422,55962800
2023-05-09,,,169.47552490234375,45326900
2023-05-10,,,171.24160766601562,53724500
2023-05-11,,,171.42906188964844,49514700
2023-05-12,,,170.50035095214844,45533100
2023-05-15,,,170.00633239746094,37266700
2023-05-16,,,170.00633239746094,42110300
2023-05-17,,,170.61888122558594,57951600
2023-05-18,,,172.95059204101562,65496700
2023-05-19,,,173.0592803955078,55809500
2023-05-22,,,172.11077880859375,43570900
2023-05-23,,,169.50247192382812,50747300
2023-05-24,,,169.77906799316406,45143500
2023-05-25,,,170.91531372070312,56058300
2023-05-26,,,173.32603454589844,54835000
2023-05-30,,,175.17361450195312,55964400
2023-05-31,,,175.12423706054688,99625300
2023-06-01,,,177.93014526367188,68901800
2023-06-02,,,178.7798614501953,61996900
2023-06-05,,,177.42623901367188,121946500
2023-06-06,,,177.0607147216797,64848400
2023-06-07,,,175.68740844726562,61944600
2023-06-08,,,178.4044189453125,50214900
2023-06-09,,,178.78973388671875,48900000
2023-06-12,,,181.58575439453125,54274900
2023-06-13,,,181.11151123046875,54929100
2023-06-14,,,181.7438507080078,57462900
2023-06-15,,,183.77914428710938,65433200
2023-06-16,,,182.70220947265625,101256200
2023-06-20,,,182.7911376953125,49799100
2023-06-21,,,181.75375366210938,49515700
2023-06-22,,,184.75729370117188,51245300
2023-06-23,,,184.44110107421875,53117000
2023-06-26,,,183.0480194091797,48088700
2023-06-27,,,185.80453491210938,50730800
2023-06-28,,,186.98028564453125,51216800
2023-06-29,,,187.3162078857422,46347300
2023-06-30,,,191.6436767578125,85213200
2023-07-03,,,190.15182495117188,31458200
2023-07-05,,,189.0353546142578,46920300
2023-07-06,,,189.5095672607422,45094300
2023-07-07,,,188.39312744140625,46815000
2023-07-10,,,186.3479766845703,59922200
2023-07-11,,,185.82432556152344,46638100
2023-07-12,,,187.49403381347656,60750200
2023-07-13,,,188.25479125976562,41342300
2023-07-14,,,188.4030303955078,41616200
2023-07-17,,,191.66346740722656,50520200
2023-07-18,,,191.40658569335938,48288200
2023-07-19,,,192.76014709472656,80507300
2023-07-20,,,190.81378173828125,59581200
2023-07-21,,,189.63803100585938,71951700
2023-07-24,,,190.4383087158203,45377800
2023-07-25,,,191.29788208007812,37283200
2023-07-26,,,192.16732788085938,47471900
2023-07-27,,,190.90267944335938,47460200
2023-07-28,,,193.48138427734375,48291400
2023-07-31,,,194.0939483642578,38824100
2023-08-01,,,193.2640380859375,35175100
2023-08-02,,,190.27035522460938,50389300
2023-08-03,,,188.8772735595703,61235200
2023-08-04,,,179.807373046875,115956800
2023-08-07,,,176.70504760742188,97576100
2023-08-08,,,177.6436309814453,67823000
2023-08-09,,,176.0529327392578,60378500
2023-08-10,,,175.8355712890625,54686900
2023-08-11,,,175.89491271972656,52036700
2023-08-14,,,177.54714965820312,43675600
2023-08-15,,,175.55856323242188,43622600
2023-08-16,,,174.6879425048828,46964900
2023-08-17,,,172.1453399658203,66062900
2023-08-18,,,172.630126953125,61172200
2023-08-21,,,173.96572875976562,46311900
2023-08-22,,,175.34091186523438,42038900
2023-08-23,,,179.18943786621094,52722800
2023-08-24,,,174.49998474121094,54945800
2023-08-25,,,176.7062225341797,51449600
2023-08-28,,,178.26934814453125,43820700
2023-08-29,,,182.15745544433594,53003900
2023-08-30,,,185.64984130859375,60813900
2023-08-31,,,185.86749267578125,60794500
2023-09-01,,,187.4405517578125,45766500
2023-09-05,,,187.67799377441406,45280000
2023-09-06,,,180.96038818359375,81755800
2023-09-07,,,175.66738891601562,112488800
2023-09-08,,,176.28079223632812,65551300
2023-09-11,,,177.44818115234375,58953100
2023-09-12,,,174.42080688476562,90370200
2023-09-13,,,172.35311889648438,84267900
2023-09-14,,,173.8667755126953,60895800
2023-09-15,,,173.1445770263672,109259500
2023-09-18,,,176.07301330566406,67257600
2023-09-19,,,177.1613006591797,51826900
2023-09-20,,,173.6194610595703,58436200
2023-09-21,,,172.07606506347656,63149100
2023-09-22,,,172.9268798828125,56725400
2023-09-25,,,174.20315551757812,46172700
2023-09-26,,,170.12709045410156,64588900
2023-09-27,,,168.61338806152344,66921800
2023-09-28,,,168.87062072753906,56294400
2023-09-29,,,169.3850860595703,51861100
2023-10-02,,,171.89801025390625,52164500
2023-10-03,,,170.5623779296875,49594600
2023-10-04,,,171.80894470214844,53020300
2023-10-05,,,173.04563903808594,48527900
2023-10-06,,,175.59814453125,57266700
2023-10-09,,,177.0821533203125,42390800
2023-10-10,,,176.48855590820312,43698000
2023-10-11,,,177.88352966308594,47551100
2023-10-12,,,178.78382873535156,56743100
2023-10-13,,,176.9436798095703,51427100
2023-10-16,,,176.8150177001953,52517000
2023-10-17,,,175.26177978515625,57549400
2023-10-18,,,173.96572875976562,54764400
2023-10-19,,,173.5897674560547,59302900
2023-10-20,,,171.03726196289062,64244000
2023-10-23,,,171.15599060058594,55980100
2023-10-24,,,171.59132385253906,43816600
2023-10-25,,,169.2762451171875,57157000
2023-10-26,,,165.11109924316406,70625300
2023-10-27,,,166.4269561767578,58499100
2023-10-30,,,168.47486877441406,51131000
2023-10-31,,,168.94976806640625,44846000
2023-11-01,,,172.11566162109375,56934900
2023-11-02,,,175.6773223876953,77334800
2023-11-03,,,174.76708984375,79829200
2023-11-06,,,177.31956481933594,63841300
2023-11-07,,,179.8820037841797,70530000
